socialMedia,time,count
twitter_status,2021-02-25,11
twitter_status,2021-02-26,9
twitter_status,2021-02-24,44
twitter_status,2021-03-13,1
twitter_status,2021-03-10,14
twitter_status,2021-03-21,9
twitter_status,2021-04-04,16
twitter_status,2021-04-11,6
twitter_status,2021-05-22,19
twitter_status,2021-05-23,7
twitter_status,2021-06-02,14
twitter_status,2021-05-27,8
twitter_status,2021-06-08,2
twitter_status,2021-06-26,18
twitter_status,2021-06-27,9
twitter_status,2021-06-28,7
twitter_status,2021-06-29,5
twitter_status,2021-06-24,6
twitter_status,2021-06-23,3
twitter_status,2021-07-06,8
twitter_status,2021-07-05,13
twitter_status,2021-07-07,3
twitter_status,2021-07-03,7
twitter_status,2021-06-30,11
twitter_status,2021-07-16,7
twitter_status,2021-07-12,34
twitter_status,2021-07-11,19
twitter_status,2021-07-10,1
twitter_status,2021-07-22,7
twitter_status,2021-07-24,5
twitter_status,2021-07-21,5
twitter_status,2021-07-31,10
twitter_status,2021-08-04,6
twitter_status,2021-08-01,3
twitter_status,2021-08-03,4
twitter_status,2021-08-02,5
twitter_status,2021-07-30,13
twitter_status,2021-08-05,117
twitter_status,2021-08-09,10
twitter_status,2021-08-08,11
twitter_status,2021-08-10,3
twitter_status,2021-08-13,7
twitter_status,2021-08-06,49
twitter_status,2021-08-07,6
twitter_status,2021-08-20,3
twitter_status,2021-08-18,2
twitter_status,2021-08-16,4
twitter_status,2021-08-21,3
twitter_status,2021-08-28,4
twitter_status,2021-08-24,13
twitter_status,2021-08-25,5
twitter_status,2021-09-08,7
twitter_status,2021-09-09,6
twitter_status,2021-09-02,7
twitter_status,2021-09-16,8
twitter_status,2021-09-15,9
twitter_status,2021-09-23,18
twitter_status,2021-09-27,3
twitter_status,2021-09-22,12
twitter_status,2021-10-06,3
twitter_status,2021-10-04,10
twitter_status,2021-09-28,5
twitter_status,2021-10-07,9
twitter_status,2021-10-09,5
twitter_status,2021-10-14,9
twitter_status,2021-10-08,8
twitter_status,2021-10-10,2
